ID,Name,Glottocode,ISO639P3code,Longitude,Latitude
borong,Kosorong,boro1279,ksr,-6.56688,147.511
burum,Burum,buru1306,bmu,-6.51663,147.333
dedua,Dedua,dedu1240,ded,-6.38206,147.627
kate,Kâte,kate1253,kmg,-6.4795,147.757
komba,Komba,komb1273,kpf,-6.16163,147.28
kube,Hube,kube1244,kgf,-6.42586,147.536
mape,Mape,mape1249,mlh,-6.59318,147.682
mesem,Mese,mese1244,mci,-6.56072,147.137
mindik,Mindik,buru1306,bmu,-6.51663,147.333
nabak,Nabak,naba1256,naf,-6.42709,146.966
ono,Ono,onoo1246,ons,-6.19223,147.579
selepet,Selepet,sele1250,spl,-6.03532,147.234
timbe,Timbe,timb1251,tim,-6.0687,147.057
tobo,Tobo,tobo1251,kgf,-6.36263,147.376
