Grapheme	IPA	SCA	TYPES	FREQUENCY	CODEPOINTS	EXAMPLES	LANGUAGES	frequency
-$	NULL							
^-	NULL
dz	dz
ts	ts
kp	kp
gb	gb
-	+	_	Marker	936	U+002D	"bet-,dziŋgəŋgəŋ-,gum kət-"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	936
a	a	A	Vowel	903	U+0061	"kama,sâhap,wania"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	903
b	b	P	Consonant	211	U+0062	"kumbu,soŋgbaŋ-,ârâŋbârik"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	211
c	c	C	Consonant	43	U+0063	"dzoc,karorac,kpitsec-"	Kate,Mape	43
d	d	T	Consonant	280	U+0064	"dasoŋ,dzâl-,edi"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	280
e	e	E	Vowel	721	U+0065	"enar-,nade-,sue-"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	721
f	f	B	Consonant	46	U+0066	"fakec-,fe-,fəki-"	Dedua,Kate,Kube,Mape,Mesem	46
g	g	K	Consonant	292	U+0067	"gawâŋ gawâŋ,gbâtâ-,gârâkŋi"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	292
h	h	H	Consonant	154	U+0068	"hatsec-,hârowâk,waha-"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mindik,Selepet,Timbe,Tobo	154
i	i	I	Vowel	801	U+0069	"ide-,siwiŋe-,siŋiaha"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	801
k	k	K	Consonant	700	U+006B	"gbaok gbaok,kot-,ŋatik"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	700
l	l	L	Consonant	190	U+006C	"fegle-,lį,sâliku-"	Borong,Burum,Komba,Kube,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	190
m	m	M	Consonant	411	U+006D	"menda-,neselam-,ŋetŋemidaine"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	411
n	n	N	Consonant	469	U+006E	"kana,kun-,naŋgo-"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	469
o	o	U	Vowel	525	U+006F	"kousu,motooŋgok,poet"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	525
p	p	P	Consonant	265	U+0070	"kokolak kpe-,pik-,tep-"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	265
r	r	R	Consonant	275	U+0072	"dari-,gbaru,hâroŋne"	Borong,Burum,Dedua,Kate,Komba,Kube,Mape,Mesem,Mindik,Nabak,Ono,Selepet,Timbe,Tobo	275
