ID	Language	Word	Gloss	Annotation	Cognacy
90452	borong	I	ni	I	1746,094.1ea4
91684	borong	where	daaŋeŋ	where	
90466	borong	thou	gi	thou	094.1e80
91978	borong	(its) flower	dzura-	(its) flower	094.1e04
90480	borong	we	nono	we	094.1f4e
91810	borong	(he) throws	mesao-	(he) throws	094.1ea2
90578	borong	(he) says	dzo-	(he) says	094.1e90
92076	borong	(its) wing	eŋgaŋ-	(its) wing	094.1ead
90704	borong	(he) gives me	non-	(he) gives me	094.1ed7
92202	borong	dull	dzitakpaak	dull	094.1ee8
90984	borong	(he) sleeps	e-	(he) sleeps	094.1f39
91964	borong	lake	aŋgoŋ	lake	094.1e71
90998	borong	(he) eats	ne-	(he) eats	094.207f
92356	borong	work	gawoŋ	work	
90718	borong	(he) stands	nan-	(he) stands	094.1df6
91586	borong	(its) eye	dzaa-	(its) eye	094.1eb7
91012	borong	(he) bites it	ki-	(he) bites it	094.1e5e
92370	borong	spear	wasak	spear	
90732	borong	all	kuuya	all	
92216	borong	(his) brother	dat-	(his) brother	094.1e93
91026	borong	black	indzaŋa	black	094.1e8f
92272	borong	(she) sews	euŋme-	(she) sews	094.1f62
90522	borong	that	lo	that	094.1edb
91768	borong	(he) holds	me-	(he) holds	094.1e6a
90592	borong	moon	koiŋ	moon	094.1eeb
92342	borong	clothing	opo	clothing	094.1de5
91040	borong	green	asoŋ asoŋ	green	094.1e47
91866	borong	(he) digs	toguŋken-	(he) digs	
90746	borong	many	mamagu	many	
92090	borong	(its) breath	osoŋgoŋ	(its) breath	094.1dfa
91054	borong	white	tataaŋkota	white	
91992	borong	(its) fruit	oŋ-	(its) fruit	
90760	borong	night	ketek	night	
92104	borong	(he) vomits	lon-	(he) vomits	094.1e46
91068	borong	red	osoga	red	
91600	borong	(its) skin	sele-	(its) skin	094.1f15
91082	borong	yellow	gogookota	yellow	094.1e34
92384	borong	(he) blows	uu-	(he) blows	094.354c
91096	borong	good	auaa	good	
91502	borong	(his) hand	borok	(his) hand	
90536	borong	this	I	this	094.1f04
91880	borong	(he) cuts	koto-	(he) cuts	
90606	borong	round	lilik lilik	round	094.1e8b
92398	borong	(it) swells	somaro-	(it) swells	
90774	borong	long	koriga	long	094.1def
91782	borong	(he) falls	kamaa-	(he) falls	
91110	borong	hot	gerek	hot	094.1e44
92230	borong	(his) sister	naaŋ-	(his) sister	094.1ea9
91124	borong	new	gbilia	new	094.1e87
91796	borong	(he) turns	meleen-	(he) turns	094.1e66
90620	borong	(it is) full	saa kpe-	(it is) full	
91530	borong	(its) tooth	dzot-	(its) tooth	094.1f5e
90788	borong	big	somata	big	
92118	borong	(he) laughs	dzomo-	(he) laughs	094.1f27
91138	borong	(it is) dry	tobori-	(it is) dry	
92258	borong	(his) mother	maŋ-	(his) mother	
91152	borong	cold	oloŋa	cold	
91516	borong	(its) tongue	neselaŋ-	(its) tongue	094.1f48
90634	borong	(his) knee	simiŋ-	(his) knee	094.1e84
90914	borong	(its) fat	kelega	(its) fat	094.1f57
90802	borong	small	meraak	small	
91698	borong	how	nomaiŋ	how	
91166	borong	(its) name	dzakota	(its) name	094.1e0c
91894	borong	some	tosi-	some	094.1ece
91180	borong	not	mende	not	094.1e72
92132	borong	(he) sucks	bugo-	(he) sucks	
91194	borong	(it) burns	dze-	(it) burns	094.1e08
92006	borong	stick	taak	stick	094.1e2a
90816	borong	star	seŋgeleu	star	094.1e3b
91446	borong	bird	kooŋ	bird	
91208	borong	road	kanak	road	094.1f66
91614	borong	(its) head	osoga-	(its) head	
91222	borong	water	apuk	water	
92146	borong	(he) cries	saa-	(he) cries	094.1ef9
90494	borong	who	moŋ	who	094.1f2a
92020	borong	worm	genambeŋ	worm	094.1e89
90550	borong	one	motooŋgok	one	
91712	borong	and	ano	and	
90648	borong	(its) claw	kosi-	(its) claw	
91908	borong	short	torodaamoŋ	short	
90830	borong	sun	weeŋ	sun	2e3e
91544	borong	(its) foot	kani-	(its) foot	094.1e2d
91236	borong	smoke	kaasok	smoke	094.1f63
92244	borong	(his) father	nemuŋ-	(his) father	
90844	borong	cloud	koosuk	cloud	094.1dfe
91922	borong	wind	haamok	wind	
91250	borong	(he) hit him	kpe-	(he) hit him	094.1f2f
92300	borong	(he) shoots	do-	(he) shoots	
90858	borong	rain	koŋ	rain	f51
91628	borong	(its) bone	siita	(its) bone	094.1f1a
91264	borong	(he) knows	mo-	(he) knows	094.1dea
91460	borong	woman	embak	woman	094.1e2b
91278	borong	sand	sakasiŋ	sand	094.1e98
91726	borong	there	endu	there	094.1e1a
90662	borong	breast	adzu-	breast	094.1e97
92314	borong	(he) counts	weeŋgo-	(he) counts	
90872	borong	(its) belly	keri-	(its) belly	094.1f2c
91474	borong	man	edzak	man	
91292	borong	stone	dzamok	stone	
91642	borong	he	I	he	094.1ec0
91306	borong	mountain	baaŋa	mountain	094.1eb4
91936	borong	sky	siwek	sky	
91320	borong	ashes	took	ashes	
92174	borong	old	kerugaha	old	
90886	borong	(its) nose	sewaŋ-	(its) nose	
91558	borong	(its) tail	dzi-	(its) tail	094.1ecf
91334	borong	earth	namok	earth	
92048	borong	animal	osoŋ	animal	094.1f3d
91348	borong	(its) leaf	seŋ-	(its) leaf	094.1ed5
92034	borong	snake	mokoleŋ	snake	094.1e26
90508	borong	what	namuŋak	what	
92286	borong	rope	dzowak	rope	
90564	borong	two	woik	two	094.1e05
91656	borong	ye	oŋo	ye	094.1f1d
90676	borong	(he) comes	waa-	(he) comes	
92160	borong	(he) spits	sulaak-	(he) spits	
90900	borong	(its) heart	bakota	(its) heart	
91838	borong	(he) pushes	kpetanoke-	(he) pushes	
91362	borong	tree	ik	tree	094.1f55
91572	borong	(its) meat	busi-	(its) meat	094.1f13
91376	borong	(its) root	tiita-	(its) root	
91740	borong	right (side)	orowak	right (side)	
90928	borong	(its) neck	are-	its neck	
92062	borong	(its) back	gemasit-	(its) back	094.1e38
91390	borong	(its) seed	kota	(its) seed	094.1e6e
91670	borong	they	ioŋoŋoŋ	they	
91404	borong	(its) ear	gedza-	(its) ear	094.1ebc
91488	borong	(its) blood	saya	(its) blood	094.1f5d
91418	borong	louse	imoŋ	louse	094.1e02
91950	borong	dust	ilawela	dust	
90690	borong	(he) sits	ra-	(he) sits	094.1f0a
91754	borong	left (side)	kanik	left (side)	094.1e22
90942	borong	(its) hair	dzui-	(its) hair	094.1f40
92188	borong	warm	geriawok	warm	
91432	borong	dog	kasuk	dog	094.1f4d
91852	borong	(he) washes	soŋgbaŋ-	(he) washes	094.1f36
90956	borong	(he) dies	komu-	(he) dies	094.1ef4
91824	borong	(he) pulls	oro-	(he) pulls	094.1e83
90970	borong	(he) sees me	nii-	(he) sees me	094.1ee1
92328	borong	(they) play	aoŋgolok	(they) play	094.1f5a
90575	dedua	(he) says	de-	(he) says	094.1e90
91961	dedua	lake	dzokoŋ	lake	094.1e71
90981	dedua	(he) sleeps	fe-	(he) sleeps	094.1f39
92157	dedua	(he) spits	sofok-	(he) spits	094.1e9f
90715	dedua	(he) stands	nan-	(he) stands	094.1df6
91583	dedua	(its) eye	kiwa	(its) eye	094.1eb8
90995	dedua	(he) eats	ne-	(he) eats	094.207f
92283	dedua	rope	witik	rope	
91009	dedua	(he) bites it	ki-	(he) bites it	094.1e5e
91765	dedua	(he) holds	me-	(he) holds	094.1e6a
90589	dedua	moon	afo	moon	
92353	dedua	work	ua	work	
91023	dedua	black	dzadzu	black	
91625	dedua	(its) bone	sir-	(its) bone	094.1f1a
90729	dedua	all	sasawa	all	094.1e32
92213	dedua	(his) brother	dar-	(his) brother	094.1e93
90519	dedua	that	yo	that	094.1edb
91527	dedua	(its) tooth	enar-	(its) tooth	
91037	dedua	green	ârâŋbârik	green	094.1ea3
91863	dedua	(he) digs	usu-	(he) digs	094.1eca
91051	dedua	white	koŋak	white	
92087	dedua	(its) breath	naka-	(its) breath	094.1dfb
90743	dedua	many	homak	many	
92367	dedua	spear	damu	spear	094.1e1e
91065	dedua	red	sak sak	red	
91975	dedua	(its) flower	ori-	(its) flower	094.1e04
90757	dedua	night	tofonak	night	
91485	dedua	(its) blood	sawa	(its) blood	094.1f5d
91079	dedua	yellow	dzagea	yellow	
92269	dedua	(she) sews	kpebi-	(she) sews	094.1f60
90603	dedua	round	orâŋ	round	094.1e8a
91681	dedua	where	dahae	where	
90477	dedua	we	nini	we	094.1f50
91779	dedua	(he) falls	ma-	(he) falls	094.1e21
91093	dedua	good	gombuŋa	good	
92101	dedua	(he) vomits	urun-	(he) vomits	
90771	dedua	long	herea	long	094.1def
91499	dedua	(his) hand	mari	(his) hand	094.1dfd
91107	dedua	hot	gerek	hot	094.1e44
92381	dedua	(he) blows	fifi-	(he) blows	094.354c
91121	dedua	new	gboria	new	094.1e87
91989	dedua	(its) fruit	forak-	(its) fruit	094.1e51
90533	dedua	this	I	this	094.1f04
91877	dedua	(he) cuts	herege-	(he) cuts	094.1f21
91135	dedua	(it is) dry	kereŋ-	(it is) dry	094.1deb
92227	dedua	(his) sister	nawiŋ-	(his) sister	
90785	dedua	big	kuneŋ	big	094.1e3e
91597	dedua	(its) skin	sebi-	(its) skin	094.1f17
90617	dedua	(it is) full	wake-	(it is) full	
92395	dedua	(it) swells	siwiŋe-	(it) swells	094.1edc
91149	dedua	cold	moteŋa	cold	094.1f44
91611	dedua	(its) head	fufu-	(its) head	
90491	dedua	who	moŋ	who	094.1f2a
92115	dedua	(he) laughs	dzomore-	(he) laughs	094.1f27
91163	dedua	(its) name	kiwa	(its) name	094.1e0b
91695	dedua	how	dafi	how	
90799	dedua	small	kapia	small	
92143	dedua	(he) cries	kiak-	(he) cries	
91177	dedua	not	mi	not	094.1f51
91793	dedua	(he) turns	meren-	(he) turns	094.1e66
90813	dedua	star	bâpiŋ	star	094.1e3a
91541	dedua	(its) foot	hani-	(its) foot	094.1e2d
