ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Borong,Kosorong,boro1279,Borong,ksr,Papunesia,-6.56688,147.511,Nuclear Trans New Guinea
Burum,Burum,buru1306,Burum-Mindik,bmu,Papunesia,-6.51663,147.333,Nuclear Trans New Guinea
Dedua,Dedua,dedu1240,Dedua,ded,Papunesia,-6.38206,147.627,Nuclear Trans New Guinea
Kate,Kâte,kate1253,Kâte,kmg,Papunesia,-6.4795,147.757,Nuclear Trans New Guinea
Komba,Komba,komb1273,Komba,kpf,Papunesia,-6.16163,147.28,Nuclear Trans New Guinea
Kube,Hube,kube1244,Kulungtfu-Yuanggeng-Tobo,kgf,Papunesia,-6.42586,147.536,Nuclear Trans New Guinea
Mape,Mape,mape1249,Mape,mlh,Papunesia,-6.59318,147.682,Nuclear Trans New Guinea
Mesem,Mese,mese1244,Mese,mci,Papunesia,-6.56072,147.137,Nuclear Trans New Guinea
Mindik,Mindik,buru1306,Burum-Mindik,bmu,Papunesia,-6.51663,147.333,Nuclear Trans New Guinea
Nabak,Nabak,naba1256,Nabak,naf,Papunesia,-6.42709,146.966,Nuclear Trans New Guinea
Ono,Ono,onoo1246,Ono,ons,Papunesia,-6.19223,147.579,Nuclear Trans New Guinea
Selepet,Selepet,sele1250,Selepet,spl,Papunesia,-6.03532,147.234,Nuclear Trans New Guinea
Timbe,Timbe,timb1251,Timbe,tim,Papunesia,-6.06875,147.057,Nuclear Trans New Guinea
Tobo,Tobo,tobo1251,Tobo,kgf,Papunesia,-6.36263,147.376,Nuclear Trans New Guinea
